tenure_months,monthly_fee,support_tickets,churned
12,56.23,0,0
22,41.88,1,0
15,40.48,0,1
28,61.96,1,0
43,37.58,1,0
41,36.98,0,0
10,31.94,1,0
15,56.54,0,0
29,34.99,1,0
33,36.43,1,0
37,55.59,2,1
17,32.37,1,0
1,44.83,0,0
4,60.74,0,1
33,56.6,0,0
30,60.0,2,0
3,52.82,0,1
22,51.16,3,0
32,56.27,1,0
35,42.6,1,1
30,41.63,1,0
25,41.87,1,0
23,54.4,0,0
27,34.25,1,0
42,25.99,1,0
33,15.39,0,0
1,44.85,2,0
36,40.48,0,1
41,57.41,1,0
21,37.77,0,1
8,48.78,1,1
34,44.65,3,0
15,42.83,0,0
42,60.78,0,0
23,59.03,2,1
6,26.47,3,0
32,71.84,1,0
44,42.86,0,0
24,39.59,0,0
26,57.17,1,0
47,42.05,0,0
45,27.92,0,0
42,47.64,2,0
41,42.06,1,0
9,41.03,1,0
46,36.04,0,0
7,56.79,1,0
41,47.43,0,0
39,56.0,1,0
42,40.96,0,0
14,48.26,0,0
19,43.09,0,0
42,31.62,1,0
17,23.81,1,0
11,36.8,0,0
30,49.15,1,1
35,38.96,0,0
17,24.96,0,0
27,42.23,1,0
20,42.24,1,0
23,32.82,1,0
10,40.57,2,0
25,38.71,0,0
38,45.82,0,0
3,39.18,1,1
34,54.05,2,0
17,39.23,1,0
41,68.74,1,1
33,54.77,0,0
8,30.86,2,0
34,50.52,0,1
1,41.64,2,0
25,56.57,1,0
10,40.96,0,0
6,43.37,2,0
42,67.94,0,0
17,63.4,0,0
9,24.22,1,0
1,28.84,1,1
1,32.0,1,1
33,63.86,3,0
37,27.18,2,0
29,39.26,1,0
17,49.22,2,0
29,31.22,1,0
16,42.97,0,0
45,54.28,2,0
30,40.59,0,0
20,27.39,3,1
14,34.67,0,0
35,59.06,3,0
6,49.16,1,0
47,40.35,1,0
7,45.62,0,0
31,49.54,0,0
17,41.71,1,0
18,54.45,1,0
42,45.54,1,0
43,45.14,0,0
41,58.97,0,0
15,38.67,1,0
9,34.77,1,1
34,46.8,2,0
42,50.16,1,0
43,60.41,1,0
21,30.94,1,0
25,15.0,0,0
35,53.9,2,1
12,50.26,1,1
42,61.15,0,0
37,34.52,2,0
22,59.12,0,0
34,45.03,0,0
28,17.81,1,0
8,48.04,2,1
6,40.24,0,0
36,33.77,0,0
27,45.47,0,0
24,34.64,3,0
44,28.82,0,0
6,37.4,2,0
17,50.99,1,0
22,37.0,1,0
34,50.65,1,1
3,64.73,0,1
2,28.15,1,0
1,62.82,0,0
9,27.88,0,0
12,52.92,1,1
26,61.77,0,0
16,61.69,0,0
17,50.23,2,1
42,35.5,2,0
12,27.19,1,0
16,56.89,2,0
25,39.78,0,0
32,41.12,1,0
23,55.35,1,0
9,50.15,2,0
8,47.8,0,1
7,57.56,0,0
42,45.98,1,0
46,36.46,1,0
36,34.74,1,0
19,47.37,3,1
31,55.6,1,0
24,36.5,2,0
16,32.3,1,0
36,29.81,1,0
39,55.71,0,0
8,34.12,1,0
31,54.96,2,0
12,20.51,0,0
33,60.01,1,0
2,26.63,0,0
6,38.58,2,1
24,51.59,0,1
23,47.65,0,0
26,46.95,0,0
32,72.72,0,0
27,36.75,0,0
21,41.98,0,0
47,27.41,2,0
19,32.95,3,1
26,59.34,0,1
31,73.5,0,0
35,57.46,0,0
4,37.9,0,1
19,38.28,1,0
40,26.81,0,0
27,50.99,0,0
28,52.58,2,0
20,46.64,0,0
5,26.38,2,1
12,67.64,1,0
17,36.39,1,0
32,59.18,1,0
29,20.46,0,0
47,48.29,0,0
11,34.67,1,0
41,24.1,2,0
34,37.41,0,0
25,50.91,1,0
31,59.04,2,0
30,36.86,0,0
26,54.23,0,0
20,41.92,1,0
23,41.98,0,0
1,46.74,1,1
26,44.46,0,0
12,54.88,1,0
10,43.44,0,1
41,39.36,0,0
40,54.31,1,0
41,53.44,0,1
21,32.52,2,1
35,41.5,1,0
28,38.52,2,0
9,46.89,1,0
37,41.64,2,0
30,44.9,0,0
26,48.72,2,0
7,68.57,0,0
33,63.63,0,0
36,52.05,2,0
7,16.93,0,1
42,56.16,0,0
38,17.89,1,0
25,44.4,1,0
29,49.21,0,0
43,42.96,0,0
37,59.98,2,0
39,45.31,2,1
44,57.64,0,0
41,59.94,0,0
26,20.79,0,0
24,23.96,1,0
21,58.15,2,1
32,63.52,1,1
18,61.3,2,0
32,62.61,0,0
32,34.64,0,0
43,39.77,2,0
5,30.66,0,1
24,46.62,3,0
34,28.73,1,0
38,53.62,1,0
3,46.47,0,1
36,52.06,0,0
18,32.32,1,0
37,48.47,0,0
21,42.81,1,0
26,32.83,1,0
29,55.82,1,1
3,75.23,1,0
32,50.93,2,0
37,42.47,0,0
4,37.33,0,0
24,45.18,1,0
46,26.77,1,1
30,36.18,0,0
8,40.92,0,1
9,38.29,0,0
43,55.27,1,0
13,48.44,0,0
6,40.72,0,0
39,46.63,1,0
47,57.47,1,0
14,58.59,0,0
28,34.94,1,0
2,59.72,0,0
31,65.19,3,1
41,39.76,0,0
43,48.7,0,1
2,46.74,0,1
40,41.87,1,0
11,62.72,0,0
32,62.98,2,0
9,51.93,1,1
33,50.15,0,0
29,30.86,2,0
5,31.97,1,0
8,41.86,0,1
7,35.02,1,0
23,28.47,0,0
27,53.34,0,0
45,30.42,0,0
34,59.3,1,0
25,33.71,0,0
41,36.67,1,0
36,55.36,2,0
23,57.04,0,0
17,61.04,2,1
31,41.72,0,0
7,46.91,1,1
25,56.81,0,0
4,49.64,0,1
12,47.03,0,0
31,65.47,0,0
8,34.44,0,0
43,55.86,2,0
35,45.51,1,0
15,39.3,1,0
22,52.88,0,1
47,38.19,0,0
9,53.79,3,1
7,36.4,0,0
14,44.5,0,0
6,22.42,0,0
16,45.74,1,0
21,56.55,0,1
43,40.25,3,1
14,53.54,0,0
47,46.76,1,0
7,36.58,1,1
16,49.12,0,0
6,15.96,0,0
40,60.72,1,0
43,35.24,1,0
39,61.83,1,0
17,46.05,1,0
46,32.35,1,0
30,45.49,0,0
25,53.08,1,0
12,46.4,1,0
44,35.96,1,0
10,45.74,0,1
25,26.03,0,0
46,44.3,1,1
34,58.48,0,0
18,38.93,2,1
34,51.29,1,1
46,29.26,0,0
29,71.87,0,0
8,46.84,1,0
19,39.63,1,0
35,35.94,1,1
12,47.61,0,0
27,46.5,1,0
1,77.12,1,1
22,41.26,0,1
18,51.95,1,0
13,51.76,0,1
23,22.73,1,1
24,32.2,0,0
18,15.0,1,0
43,46.83,0,0
7,46.78,0,0
31,43.15,2,0
17,45.68,1,0
20,41.03,2,1
11,39.47,1,1
33,46.76,0,0
39,56.62,0,0
17,26.42,2,0
17,38.2,1,0
23,35.47,1,0
36,60.28,2,0
28,34.21,0,0
10,74.75,0,0
30,51.31,2,0
4,37.22,1,0
21,33.72,1,0
23,53.12,3,1
13,57.94,1,1
15,34.53,1,1
38,39.64,0,0
34,45.43,1,0
3,49.55,0,0
12,49.63,1,1
6,50.16,2,1
9,35.87,0,0
38,61.8,0,0
12,54.2,3,0
42,52.64,0,0
46,27.38,1,0
16,41.46,0,1
42,76.32,1,0
46,17.72,0,0
26,37.64,1,1
40,20.22,1,0
43,59.38,3,0
44,57.45,0,0
47,53.55,0,0
22,48.6,0,0
35,58.22,1,0
21,59.19,0,0
1,58.69,1,0
13,44.88,1,1
40,52.31,0,1
27,35.72,0,0
3,38.11,1,0
14,20.91,2,0
11,46.55,0,0
46,20.82,1,0
47,37.74,2,0
9,64.86,0,0
22,63.4,0,1
36,44.18,0,0
35,33.69,2,0
23,50.01,0,0
43,33.86,0,0
46,29.12,2,0
44,51.53,0,0
39,43.33,1,0
